trial_index,arm_name,cat_set,an_set,lc0,lc1,lc2,la0,la1,la2,formula,zt,zt_sem
0,0_0,83,52,0.0,0.0,0.0,0.0,0.0,0.0,(Bi1.00)2(Te1.00)3,0.193306631144729,
1,1_0,83,52,6.0,0.0,0.0,6.0,0.0,0.0,(Bi1.00)2(Te1.00)3,0.193306631144729,
2,0_0,83,52,0.0,0.0,0.0,0.0,0.0,0.0,(Bi1.00)2(Te1.00)3,0.193306631144729,
3,3_0,83,34,0.0,0.0,0.0,0.0,0.0,0.0,(Bi1.00)2(Se1.00)3,0.08418504250529618,
4,4_0,83,34,6.0,0.0,0.0,6.0,0.0,0.0,(Bi1.00)2(Se1.00)3,0.08418504250529618,
5,3_0,83,34,0.0,0.0,0.0,0.0,0.0,0.0,(Bi1.00)2(Se1.00)3,0.08418504250529618,
6,6_0,51,52,0.0,0.0,0.0,0.0,0.0,0.0,(Sb1.00)2(Te1.00)3,0.5404170989182809,
7,7_0,51,52,6.0,0.0,0.0,6.0,0.0,0.0,(Sb1.00)2(Te1.00)3,0.5404170989182809,
8,6_0,51,52,0.0,0.0,0.0,0.0,0.0,0.0,(Sb1.00)2(Te1.00)3,0.5404170989182809,
9,9_0,51,34,0.0,0.0,0.0,0.0,0.0,0.0,(Sb1.00)2(Se1.00)3,0.07996757135564514,
10,10_0,51,34,6.0,0.0,0.0,6.0,0.0,0.0,(Sb1.00)2(Se1.00)3,0.07996757135564514,
11,9_0,51,34,0.0,0.0,0.0,0.0,0.0,0.0,(Sb1.00)2(Se1.00)3,0.07996757135564514,
12,12_0,83-49,52-34,0.29361605644226074,-0.047658562660217285,4.58302903175354,2.2547965049743652,2.5555408000946045,0.5182828903198242,(Bi0.84In0.16)2(Te0.42Se0.58)3,0.15370972670929453,
13,13_0,83-82-49,52-34,0.8326382339000702,2.5091450437903404,5.422949708998203,-5.694839492440224,-2.196772277355194,-1.6664168313145638,(Bi0.64Pb0.20In0.16)2(Te0.02Se0.98)3,0.09089050253128711,
14,14_0,83,34,-0.7851081378757954,5.8194478042423725,-2.538645353168249,5.712949879467487,4.982344552874565,-5.820516675710678,(Bi1.00)2(Se1.00)3,0.08418504250529618,
15,15_0,51-50,16,-2.082184251397848,2.373531438410282,-5.7232208624482155,5.539395276457071,-2.820867497473955,0.1512184515595436,(Sb0.70Sn0.30)2(S1.00)3,-0.12013589682024794,
16,16_0,83-51,34,2.4266482181847095,0.27787625044584274,-3.9825556240975857,4.120126873254776,-2.8979544416069984,4.841835379600525,(Bi0.90Sb0.10)2(Se1.00)3,0.08224707469766812,
17,17_0,50-82-49,16,-0.42183415219187737,2.80301471427083,-1.1937440000474453,-5.954639062285423,-1.6814874149858952,-5.821727391332388,(Sn0.40Pb0.40In0.20)2(S1.00)3,0.07935968422954037,
18,18_0,50-82-49,34-16,4.330262281000614,1.0386462025344372,-0.6001428700983524,-3.4879585057497025,4.110009748488665,-1.431124683469534,(Sn0.40Pb0.40In0.20)2(Se0.50S0.50)3,0.0978218917726642,
19,19_0,51,34,0.5709066018462181,0.2968518063426018,-5.073925293982029,-1.7069692723453045,-1.087434746325016,1.0983824171125889,(Sb1.00)2(Se1.00)3,0.07996757135564514,
20,20_0,51,52,2.9996715208490947,-8.133432735046853e-05,0.0004830149080250479,2.9997667392061143,0.0001239324368764727,-7.15649371789695e-05,(Sb1.00)2(Te1.00)3,0.5404170989182809,
21,21_0,51,52,1.6002591215594437,0.012501302457748942,-0.0761083228265198,1.5848868277106574,-0.013782544977672728,0.0148267452889419,(Sb1.00)2(Te1.00)3,0.5404170989182809,
22,22_0,51,52,2.105991567736293,-0.19826493597676098,1.1862794227558187,2.3500791662863705,0.20749411916085947,-0.23572113735054234,(Sb1.00)2(Te1.00)3,0.5404170989182809,
23,23_0,51,52,3.993104248046903,-0.059790526650387754,0.5685421057068778,3.971728930110002,0.1668437763722741,-0.06417815788732817,(Sb1.00)2(Te1.00)3,0.5404170989182809,
24,24_0,51,52,2.703417335784085,-0.5369634494820801,0.33473927960228167,4.8058421824507604,-0.8560140321122667,-0.7375340202898792,(Sb1.00)2(Te1.00)3,0.5404170989182809,
25,25_0,51,52,2.985558269707308,-0.6323424932567008,0.44503139542379166,1.3791967334017547,-0.6358122525701155,-0.39679548990450364,(Sb1.00)2(Te1.00)3,0.5404170989182809,
26,26_0,51,52,1.9583435137833405,-0.1449924084183083,0.4547867658332265,2.5568286452040514,-0.4354687033171558,-0.4705300472722689,(Sb1.00)2(Te1.00)3,0.5404170989182809,
27,27_0,51,52,1.3578685607267413,-1.3478865566722966,0.11036848825818257,3.1479533786731864,0.0535251347913821,0.16330814751601608,(Sb1.00)2(Te1.00)3,0.5404170989182809,
28,28_0,51,52,3.826063530641015,-0.8847039415467064,-0.08459785268731146,4.10619555574403,0.1344350553345155,-0.6167367015178211,(Sb1.00)2(Te1.00)3,0.5404170989182809,
29,29_0,51,52,3.5683723849814335,-0.7231178906564422,0.38509788552816104,4.240070638635128,-0.4879122818459454,0.14188302038433598,(Sb1.00)2(Te1.00)3,0.5404170989182809,
30,30_0,51,52,2.1079367318619546,2.434403780278121,-2.3750316776550613,-0.7375736760850939,3.934158899880128,-4.0183574110954305,(Sb1.00)2(Te1.00)3,0.5404170989182809,
31,31_0,51-50-49,52,5.709544433412901,4.0454923034808115,-2.0206663437294683,1.3294898009430618,-1.4457149229544033,-1.693547070852425,(Sb0.84Sn0.16In0.00)2(Te1.00)3,0.4035040677751669,
32,32_0,51,52,0.9840933345885734,0.5845382501134857,-0.9289307895912975,-0.976381517519366,2.4599143583319982,-2.5341997001482,(Sb1.00)2(Te1.00)3,0.5404170989182809,
33,33_0,51,52,3.2712620350207047,1.7526123283082935,-1.401996164368101,1.8572071117119116,2.1631616190790197,-2.4689028517657268,(Sb1.00)2(Te1.00)3,0.5404170989182809,
34,34_0,51,52,2.244016623160574,0.14091765055500272,-0.3362193422255091,1.74725351508196,0.9557183224918191,-1.1428660923009222,(Sb1.00)2(Te1.00)3,0.5404170989182809,
35,35_0,51,52,2.359931288036293,0.1636550333128861,-0.2785749843923231,1.9500131738228852,0.8036830655434528,-1.1571895940654642,(Sb1.00)2(Te1.00)3,0.5404170989182809,
36,36_0,51,52,2.4229309169794035,0.19697031515033814,-0.3196847458688721,1.9076146005948598,0.8067044341504799,-1.1866804350163278,(Sb1.00)2(Te1.00)3,0.5404170989182809,
37,37_0,51,52,-5.6825494846308295,-0.3418121373471301,1.3314259542691165,-5.880443798909055,-4.120711801451453,-1.6724114832630903,(Sb1.00)2(Te1.00)3,0.5404170989182809,
38,38_0,51,52,-2.565814674287312,-0.330519399340905,0.6495267652431842,-2.999653618121432,-1.752642301220594,-2.3104503645618304,(Sb1.00)2(Te1.00)3,0.5404170989182809,
39,39_0,51,52,-1.9847306347446088,-0.6176725896593558,0.9103200834513565,-1.9764895078745148,-1.8771176531022382,-0.5289593610998766,(Sb1.00)2(Te1.00)3,0.5404170989182809,
40,40_0,51,52,0.7861040522350393,0.5196452613586935,-0.3969820913833386,-0.06274134568009337,0.37597496174058165,-1.5374245889928977,(Sb1.00)2(Te1.00)3,0.5404170989182809,
41,41_0,51,52,0.883594720254238,0.3569315909121915,-0.2912468166614568,0.3651931762690568,0.4521923007459314,-1.4325316577456295,(Sb1.00)2(Te1.00)3,0.5404170989182809,
42,42_0,51,52,0.8335012771905959,0.41995920890930183,-0.3221611319828579,0.15944463522109764,0.4714057096266995,-1.451933610867301,(Sb1.00)2(Te1.00)3,0.5404170989182809,
43,43_0,51,52,1.5388620204699368,-1.4495574245350422,2.254955344626582,-3.905494781201621,-3.361686168667594,-1.2463528300562308,(Sb1.00)2(Te1.00)3,0.5404170989182809,
44,44_0,51,52,-0.5339300899167041,0.041552904537175195,0.8594339184781656,-4.020632875774937,-1.6631488134192445,-1.4688486820617621,(Sb1.00)2(Te1.00)3,0.5404170989182809,
45,45_0,83-82,52,-1.1615868459400662,-4.617237330578396,-0.15768120168062083,-1.708204372490048,-2.6997959494309853,-2.810940665679947,(Bi0.96Pb0.04)2(Te1.00)3,0.21342469898270924,
46,46_0,51,52,-5.763204036464502,-0.9080859499282514,-1.9546417448242988,-1.3816729941642674,5.3416780865370335,0.8425055716056766,(Sb1.00)2(Te1.00)3,0.5404170989182809,
47,47_0,51,52,-2.252695907054089,1.0347487763192396,-2.2102921872515635,0.0442932555077471,3.60910465692538,-1.302449036373444,(Sb1.00)2(Te1.00)3,0.5404170989182809,
48,48_0,51,52,-2.102027947513916,-0.48382615155622677,-0.2424557573350521,-2.0807427118004567,1.4256800368564289,-0.7279219057791391,(Sb1.00)2(Te1.00)3,0.5404170989182809,
49,49_0,51-50-49,52,-0.24976719204048514,-3.6406883401837398,2.7445550043149627,-4.775603579387271,-2.002965647672021,4.224968696519888,(Sb0.65Sn0.20In0.16)2(Te1.00)3,0.287929716618164,
50,50_0,51,52,2.9914228698221628,-2.921291954863094,-3.006992736863997,3.897083094344703,4.756351774654698,-2.3664344785098717,(Sb1.00)2(Te1.00)3,0.5404170989182809,
51,51_0,51,52,0.6165531254046996,-0.6493408484950152,-1.9823858600568727,1.2425953038039292,3.6415959530050657,-1.4047128697138866,(Sb1.00)2(Te1.00)3,0.5404170989182809,
52,52_0,51,52,0.46812483484319856,-0.2658155077101023,-0.9309197764792092,0.9462706790352495,2.059480881227268,-1.5232987474092639,(Sb1.00)2(Te1.00)3,0.5404170989182809,
53,53_0,51,52,3.099567775000466,-0.7509233000615065,1.4426551605940388,1.044776653353634,-2.0610108912883573,2.159283142685595,(Sb1.00)2(Te1.00)3,0.5404170989182809,
54,54_0,83-50-49,52,-0.7097208246237541,1.0814209866213949,0.10107108758332739,0.4446067973658643,-5.8656507981496775,-3.2996514690368004,(Bi0.55Sn0.29In0.16)2(Te1.00)3,0.18096506954357866,
55,55_0,51,52,-3.3461635650322643,-1.32902566411373,4.753505752353265,-2.187900038870951,-4.0003689421360935,-0.23654539141462738,(Sb1.00)2(Te1.00)3,0.5404170989182809,
